text,aspect_start,aspect_end,opinion_start,opinion_end,sentiment,category
su nay r?c quá,0,0,2,2,positive,APPEARANCE
karik ch?c b?t mãn v?i k?ch b?n r?i,0,0,2,3,negative,CHARACTERISTIC
cris hay quá hài d? th??ng mà nhanh chân ?á cái chuông l? thi?c,0,0,1,5,positive,CHARACTERISTIC
cris hay quá hài d? th??ng mà nhanh chân ?á cái chuông l? thi?c,0,0,7,13,positive,SPECIALIZE
rõ r?t ai nh? th? nào tui không bi?t hé ch? tui là có thuý ngân là vui h?n nhe,14,15,16,19,positive,APPEARANCE
sáng gi? tui ch? mn nghe anh thái rap,6,7,,,positive,SPECIALIZE
k?t qu? r?t x?ng ?áng v?i nh?ng gì 2t c? g?ng,8,8,0,4,positive,OTHER
h?i ti?c cho 24k right . nh?ng v?n hài lòng v?i k?t qu? này,3,4,0,4,negative,SPECIALIZE
h?i ti?c cho 24k right . nh?ng v?n hài lòng v?i k?t qu? này,11,12,7,13,positive,SPECIALIZE
khúc hi?u b??c xu?ng m?t th?ng nh? tái mét luôn th??ng ghê truy?n thông ?i,,,0,11,positive,SPECIALIZE
toi th?y ph?n 3 v?i dàn cast c? ?i 2 ngày 1 ?êm ?i coi hoài hông chán mi?ng nào h?t tr?n,5,12,14,18,positive,SPECIALIZE
toi th?y ph?n 3 v?i dàn cast c? ?i 2 ngày 1 ?êm ?i coi hoài hông chán mi?ng nào h?t tr?n,5,12,14,18,positive,APPEARANCE
t?p ni ông b?p ??nh ghê luôn á tr?i,0,1,2,8,positive,SPECIALIZE
t?p ni ông b?p ??nh ghê luôn á tr?i,2,3,0,8,positive,APPEARANCE
t?p này r?t hay và ý ngh?a lên phía là,0,1,2,6,positive,SPECIALIZE
thanh âm chán r?t ?i bên ph?i là,0,1,2,2,negative,TECHNICAL
lan ng?c t?p này v?a xinh v?a duyên dáng,0,1,5,5,positive,APPEARANCE
lan ng?c t?p này v?a xinh v?a duyên dáng,0,1,7,8,positive,CHARACTERISTIC
th?t s? ?êm nay trình di?n c?a ??i justate r?t tuy?t,7,8,0,10,positive,SPECIALIZE
??t g b?o là anh mong anh mong r?ng anh s? bi?t cách s?ng hahahaha phía bên ngoài là,,,,,neutral,OTHER
quán quân th?ng không kêu r?t ?i?m ??m,0,1,2,7,positive,APPEARANCE
"team bray mãi ??nh , bray v?n ? cái t?m gi?ng nh?",0,1,2,3,positive,OTHER
chúc m?ng double 2t . rap vi?t tuy?t v?i mùa 3 quá ??nh quá thành công liên quan ??n,2,3,0,3,positive,OTHER
chúc m?ng double 2t . rap vi?t tuy?t v?i mùa 3 quá ??nh quá thành công liên quan ??n,5,6,7,8,positive,OTHER
chúc m?ng double 2t . rap vi?t tuy?t v?i mùa 3 quá ??nh quá thành công liên quan ??n,9,10,11,15,positive,OTHER
k?t qu? b?p à bài chung k?t ch? gì ?n t??ng c?,0,1,2,2,negative,SPECIALIZE
k?t qu? b?p à bài chung k?t ch? gì ?n t??ng c?,5,6,7,10,negative,APPEARANCE
bray v?a c?t ti?ng ?i qu? flow c?a verse ??u th?t s? quá s??ng . tuy?t v?i,0,0,1,16,positive,SPECIALIZE
thích 2t vì ??c tính khiêm nh??ng c?a b?n ?y . 10? respect,1,1,0,9,positive,CHARACTERISTIC
thích 2t vì ??c tính khiêm nh??ng c?a b?n ?y . 10? respect,1,1,0,0,positive,OTHER
thích 2t vì ??c tính khiêm nh??ng c?a b?n ?y . 10? respect,1,1,3,6,positive,CHARACTERISTIC
"chúc m?ng ng??i mi?n núi ch?t và 24k , ti?c cho hch và tez",2,7,0,7,positive,OTHER
"chúc m?ng ng??i mi?n núi ch?t và 24k , ti?c cho hch và tez",11,13,9,13,positive,OTHER
th?t v?ng d2t th?y rap có 1 màu mà quán quân .,2,2,0,1,negative,OTHER
th?t v?ng d2t th?y rap có 1 màu mà quán quân .,2,2,4,7,negative,SPECIALIZE
thái vg v?n là level gì ?ó r?t ??ng c?p so v?i m?t b?ng rapviet,0,1,2,14,positive,SPECIALIZE
v?n c? thích th?y trò anh bâu v?i quang anh nh?t,3,9,0,10,positive,SPECIALIZE
v?n c? thích th?y trò anh bâu v?i quang anh nh?t,5,9,2,2,positive,OTHER
"producer ai c?ng r?c trai , và tài n?ng",0,0,3,4,positive,APPEARANCE
"producer ai c?ng r?c trai , và tài n?ng",0,0,7,8,positive,SPECIALIZE
má ?i bray rap ??nh vãi . mê ?o?n ?ng rap ghê bên ngoài là,2,3,4,4,positive,SPECIALIZE
m?i ng??i cho h?i khi n?o m?i có mùa ti?p theo ? hóng quá r?i,,,0,14,neutral,OTHER
t? nhiên qu?ng cáo gì mà 4 phút 1 lân,,,2,9,negative,TECHNICAL
cá nhân mình thì ngh? 24k right quán quân,5,5,,,positive,OTHER
tôi ?ã khóc khi rhyder không l?t top,4,4,,,neutral,SPECIALIZE
nh?ng bài c?a d2t khi?n tôi nghe nhi?u nh?t qua phía bên ngoài là,0,3,6,7,positive,SPECIALIZE
lê d??ng b?o lâm tiên tri d? tr? h? tr?i . coi ?ng mà c??i s?c,0,3,14,15,positive,APPEARANCE
nh?ng công nh?n b?a chung k?t này sáng nh?t là tinh th?n c?a team thái vg r?i ??n phía ngoài,13,15,7,11,positive,CHARACTERISTIC
"?ù moá , bray lúc nào lyric c?ng ch?m t?i tim , n?i da gà sau ?ây",3,3,4,14,positive,SPECIALIZE
bài nào c?ng hay c?,0,1,2,4,positive,SPECIALIZE
ko thích thái ?? karik nha,2,4,0,1,negative,CHARACTERISTIC
??i v?i có hài nh?t vui lên h?n hay t?o nét d? thua l?m,,,,,neutral,OTHER
màn trình di?n c?a andre và rái d? beat hay,0,7,8,9,positive,SPECIALIZE
gi?ng andre rap v?n là m?t ?i?u gì ?ó ??nh c?a chóp,0,1,2,11,positive,SPECIALIZE
tính ra coi ?i coi l?i trò ch?i cu?i ch?c trên 10 l?n r?i bên ngoài,,,2,5,positive,OTHER
ch??ng trình càng ngày càng h?t ý t??ng truy?n ??n,0,1,2,7,negative,SPECIALIZE
tóm l?i sao th?y anh tu?n không bao gi? ??a ?c ý ki?n riêng c?a mình c? sao sao,4,5,,,neutral,APPEARANCE
bray quán quân,0,0,1,2,positive,SPECIALIZE
bài c?a bigdady vs tez và bài 2t vs justate ?úng hay ghê,0,9,11,11,positive,SPECIALIZE
tôi mê bà ngân nh?t ?áng ái l?m không có thúy ngân mình hk xem ?âu nên,2,3,1,1,positive,OTHER
tôi mê bà ngân nh?t ?áng ái l?m không có thúy ngân mình hk xem ?âu nên,2,3,5,7,positive,APPEARANCE
tôi mê bà ngân nh?t ?áng ái l?m không có thúy ngân mình hk xem ?âu nên,2,3,8,15,positive,APPEARANCE
??nh th?t s? ng??i mi?n núi ch?t,3,6,0,0,positive,OTHER
"k?t qu? không hay l?m , tem bray v?i tv g ph?i vô ??ch m?i ?úng bên d??i là",0,1,2,15,negative,SPECIALIZE
"k?t qu? không hay l?m , tem bray v?i tv g ph?i vô ??ch m?i ?úng bên d??i là",6,10,0,15,negative,SPECIALIZE
ai c?ng xinh trai xinh gái v tr?i,,,2,5,positive,APPEARANCE
theo mình thêm quang hùng vào ?? kéo fan thái lan qua h?p lí,,,,,neutral,OTHER
"ti?c nh?t ông hch , thích ?ng c?c",2,3,0,1,positive,OTHER
"ti?c nh?t ông hch , thích ?ng c?c",2,3,5,7,positive,OTHER
chúc m?ng anh tr??ng nha em fan anh,2,3,0,1,positive,OTHER
quán quân khiêm t?n ghê ra phía bên ngoài,0,1,2,4,positive,CHARACTERISTIC
ý là ch??ng trình lên video s?m h?n ???c không,2,3,4,9,negative,TECHNICAL
ch?c h?n t?p này khách m?i ô d? ghê mà ô d? không có vui xíu nào mà t?o nét mãi chán,4,5,6,7,negative,APPEARANCE
ch?c h?n t?p này khách m?i ô d? ghê mà ô d? không có vui xíu nào mà t?o nét mãi chán,4,5,10,16,negative,APPEARANCE
ch?c h?n t?p này khách m?i ô d? ghê mà ô d? không có vui xíu nào mà t?o nét mãi chán,4,5,18,21,negative,APPEARANCE
tr??ng giang v?i v? d? th??ng nhau c?ng x?u th? nh?ng,0,4,5,8,positive,APPEARANCE
t?p hôm nay xem ?ã bên trái là,0,2,3,4,positive,SPECIALIZE
?ang xuôi theo nh?c t? d?ng b? m?t ti?ng cái t?t mood ghê á phía trên,,,,,neutral,OTHER
nghe team c?a bray mà t n?i da gà vì hay quá tr?i,1,3,6,8,positive,SPECIALIZE
nghe team c?a bray mà t n?i da gà vì hay quá tr?i,1,3,10,10,positive,SPECIALIZE
team bray nghe cháy quá mn ? . không hi?u t?i sao bài nó hay th?,0,1,2,3,positive,SPECIALIZE
?úng là à lôi có s?c hút khán gi? ghê theo cách,2,3,4,9,positive,SPECIALIZE
editer làm t? 1:46:0 không sub v?i c? 2:40:2 m?i ng??i có b? v? ti?ng không ?,0,0,1,5,negative,TECHNICAL
editer làm t? 1:46:0 không sub v?i c? 2:40:2 m?i ng??i có b? v? ti?ng không ?,,,8,16,negative,TECHNICAL
chú thái rap ??nh quá nghe n?i da gà luôn bên ngoài là,0,1,2,3,positive,SPECIALIZE
chú thái rap ??nh quá nghe n?i da gà luôn bên ngoài là,0,1,5,8,positive,SPECIALIZE
ch? liu grace ??ng top 3 là mình vui r t?o thành,0,2,3,9,positive,SPECIALIZE
double 2t th?y không có hay b?ng 24k,0,1,2,5,negative,OTHER
double 2t th?y không có hay b?ng 24k,7,7,0,7,negative,OTHER
m?y góc máy trông khó ch?u quá r?i còn b? m?t ti?ng n?a,0,2,3,6,negative,TECHNICAL
c?ng c?p vck cric qu?nh anh r?t ra bên ngoài là,,,,,neutral,OTHER
t?p này chu?n b? nhi?u ??o c? ch?i vui ghê,0,1,2,6,positive,TECHNICAL
t?p này chu?n b? nhi?u ??o c? ch?i vui ghê,0,1,7,9,positive,SPECIALIZE
vanda m?i ??nh ráp vi?t m?i ??nh,0,0,1,2,positive,OTHER
vanda m?i ??nh ráp vi?t m?i ??nh,3,4,5,6,positive,OTHER
anh hch c?a tao hình thành,0,1,,,neutral,OTHER
bùn cho hch,2,2,0,1,negative,OTHER
bài hay nh?t double 2t ft jus vô ??ch là quá x?ng ?áng,0,7,8,13,positive,SPECIALIZE
th?ng tu?n m?m lúc nào c?ng nhai tính x?u th?t,0,1,7,9,negative,CHARACTERISTIC
th?ng tu?n m?m lúc nào c?ng nhai tính x?u th?t,0,1,2,6,negative,APPEARANCE
"k?ch b?n c? thôi , xem mà chán th?t không ???c nh? mùa 1 d??i là",,,0,3,negative,SPECIALIZE
"k?ch b?n c? thôi , xem mà chán th?t không ???c nh? mùa 1 d??i là",,,7,13,negative,OTHER
t?t c? k?ch b?n ???c biên h?t r?i,0,3,4,7,negative,SPECIALIZE
ti?ng khmer nghe cu?n v?y hay là nh? anh này nh?,0,1,3,3,positive,OTHER
love you vanda,2,2,0,0,positive,OTHER
"double 2t quán quân quá x?ng ?áng , m?t ng??i ch?ng qu?c dân",0,1,2,12,positive,SPECIALIZE
eh eh ch? thúy ngân ?ã quay l?i ch? ng?c ngân d? cute quá,2,4,5,7,positive,APPEARANCE
eh eh ch? thúy ngân ?ã quay l?i ch? ng?c ngân d? cute quá,8,11,12,13,positive,APPEARANCE
7 n? c??i xuân lúc nào c?ng vui c? mình lúc nào c?ng ngóng coi,0,3,4,7,positive,OTHER
v?i tôi 24k x?ng ?áng quán quân t??ng t?,2,2,3,4,positive,OTHER
rái ?? nói nh? nhai ch? nh? k nghe luôn nh? v?y,0,2,,,negative,SPECIALIZE
xem t?p này nh? nhà ghê t?t nh?ng ? xa quê không v? ???c,,,0,13,positive,OTHER
r?t là x?ng ?áng cho 2t và 24k right xin chúc m?ng cho 2 anh bên trái là,5,8,0,3,positive,OTHER
r?t là x?ng ?áng cho 2t và 24k right xin chúc m?ng cho 2 anh bên trái là,5,8,9,14,positive,OTHER
2t s? là quán quân ngo?i l? không chìm sau ct . chúc m?ng anh 2t tuy nhiên v?y,0,0,1,15,positive,SPECIALIZE
"hay quá , ai c?ng hay c?ng x?ng ?áng làm quán quân",,,0,11,positive,SPECIALIZE
bray v?n cay andre v?n ph?i ?á câu socola k?o mút có v? cay cay xu?ng phía bên trong là,0,0,2,3,negative,CHARACTERISTIC
bray v?n cay andre v?n ph?i ?á câu socola k?o mút có v? cay cay xu?ng phía bên trong là,3,3,,,negative,CHARACTERISTIC
ume d? ngân ng?c mãi thui chúc m?ng bé vui nh?t ?ã quay tr? l?i 7 n? phía ph?i,1,3,0,0,positive,OTHER
ume d? ngân ng?c mãi thui chúc m?ng bé vui nh?t ?ã quay tr? l?i 7 n? phía ph?i,8,10,6,16,positive,APPEARANCE
t? nhiên th? h? 10x không bi?t th?i hoàng kim c?a chú hoàng h?i nh?ng xem t?p này th?y gi?ng chú ??nh th?t trên c? tuy?t v?i ?,11,13,7,9,positive,SPECIALIZE
t? nhiên th? h? 10x không bi?t th?i hoàng kim c?a chú hoàng h?i nh?ng xem t?p này th?y gi?ng chú ??nh th?t trên c? tuy?t v?i ?,19,20,21,26,negative,SPECIALIZE
tem c?a andray không có gi?i gì à truy?n ??n,0,2,3,7,neutral,SPECIALIZE
?a s? ng??i nghe ki?u vanda anh ?ang hát gì v?y hay quá ah ?i d?n ??n,,,0,14,negative,SPECIALIZE
"tr ?i hu?nh công hi?u ráp r?i nh?y mà nghe ?i nghe l?i m?y l?n , ?? th?c s? n?i b?",2,4,5,18,positive,SPECIALIZE
k? ra nghe nh?c team andre nghe hay ph?t truy?n thông ?i,3,5,7,7,positive,SPECIALIZE
hình nh? có m?y lúc ti?ng c??i và ti?ng v? tay c?a khán gi? b? c?t m?t,,,,,neutral,OTHER
anh thái hát m??t nh? nu?t ??a á má ?i ?i v?,0,1,2,6,positive,SPECIALIZE
tui th?y anh tú hòa tan luôn á tr?i không khúc ch?i ?m lan ng?c hài mà nhìn 2 ng??i d? th??ng x?u,2,3,4,8,positive,CHARACTERISTIC
tui th?y anh tú hòa tan luôn á tr?i không khúc ch?i ?m lan ng?c hài mà nhìn 2 ng??i d? th??ng x?u,,,10,22,positive,APPEARANCE
suboi và pháp ki?u ??nh chóp,0,3,4,5,positive,OTHER
d2t trc khi ??n chung k?t nó có b?n hit à lôi nên ???c nhi?u fan quá,0,0,1,16,neutral,SPECIALIZE
d2t trc khi ??n chung k?t nó có b?n hit à lôi nên ???c nhi?u fan quá,4,5,,,neutral,SPECIALIZE
d2t trc khi ??n chung k?t nó có b?n hit à lôi nên ???c nhi?u fan quá,10,11,,,neutral,SPECIALIZE
tóm l?i tui coi 2 ngay 1 ?êm mà tui s? t?i t?p cu?i ghê,4,7,,,positive,SPECIALIZE
con c?a di?u lâm diên hài r?i quay xe v?i ba,,,,,neutral,OTHER
mình ngh? bu?n ghê nha luôn ?ng h? và ch? ??i mùa 3,,,5,12,positive,OTHER
c?m ?n anh thái ?ã ??n v?i ch??ng trình ?i theo phía,2,3,,,positive,OTHER
hu?nh công hi?u quá chi?n ví d?,0,2,3,4,positive,OTHER
ph?n hok c?a team anh thái ??nh vãi,0,5,6,7,positive,SPECIALIZE
huy nhanh trí mà còn nhanh nh?n n?a ?ng ?úng là hoàn h?o luôn á t? nhiên fan ?ng luôn t??ng t? nh?,0,0,1,2,positive,SPECIALIZE
huy nhanh trí mà còn nhanh nh?n n?a ?ng ?úng là hoàn h?o luôn á t? nhiên fan ?ng luôn t??ng t? nh?,0,0,5,6,positive,APPEARANCE
huy nhanh trí mà còn nhanh nh?n n?a ?ng ?úng là hoàn h?o luôn á t? nhiên fan ?ng luôn t??ng t? nh?,0,0,8,19,positive,OTHER
"không hi?u ti?ng anh nh?ng ?o?n c?a anh thái nghe m??t , b?t tai ph?t",5,8,0,14,positive,SPECIALIZE
hình ?nh b? nhòe khi di chuy?n nhanh,0,1,2,7,negative,TECHNICAL
lúc ch?y hình ?nh b? m? r?t nh?ng mà,2,3,4,5,negative,TECHNICAL
"g?i d2t quán quân , th? mike v?i lor th?ng c? quán quân thì g?i là gì",,,0,16,neutral,SPECIALIZE
double2t quá x?ng ?áng v?i k?t qu? ?ó luôn,0,0,2,3,positive,OTHER
tóm g?n ch??ng trình này quá hay hài h??c và vui nh?n,2,4,5,11,positive,SPECIALIZE
quán quân v?n là ti?t m?c cu?i cùng,,,0,7,neutral,SPECIALIZE
?o?n ch?y xi?t c?a 24k right nghe nh? ?o?n 8bar c?a hydra thích vãi,0,5,6,13,positive,SPECIALIZE
?o?n ch?y xi?t c?a 24k right nghe nh? ?o?n 8bar c?a hydra thích vãi,8,11,,,neutral,SPECIALIZE
ver c?a thái vg nghe ?ã l? tai,0,3,4,7,positive,SPECIALIZE
k?t qu? quá x?ng ?áng . chúc m?ng d2t ?ã nhà vô ??ch rap vi?t mùa 3,0,1,2,4,positive,SPECIALIZE
k?t qu? quá x?ng ?áng . chúc m?ng d2t ?ã nhà vô ??ch rap vi?t mùa 3,7,7,6,7,positive,OTHER
k?t qu? quá x?ng ?áng . chúc m?ng d2t ?ã nhà vô ??ch rap vi?t mùa 3,7,7,9,16,positive,OTHER
ôi anh big c?a em nghe phê quá bigdady,1,2,,,positive,SPECIALIZE
"tr?n thành b? vô duyên à , d?n ch??ng trình nói chuy?n sà l? hoài v?y n?a",0,1,2,5,negative,CHARACTERISTIC
"tr?n thành b? vô duyên à , d?n ch??ng trình nói chuy?n sà l? hoài v?y n?a",0,1,7,15,negative,APPEARANCE
mong ch??ng trình m?i ph??ng ph??ng anh ?ào ?i ? toàn m?i ng??i c? xem h?i chán trên phía ngoài là,1,2,0,9,neutral,APPEARANCE
mong ch??ng trình m?i ph??ng ph??ng anh ?ào ?i ? toàn m?i ng??i c? xem h?i chán trên phía ngoài là,1,2,10,16,negative,APPEARANCE
nhi?u t?p t?c lan ng?c vl m?c dù là fan ??n phía bên ngoài,3,4,,,negative,OTHER
th?t s? sao hong thích tr??ng gian n?i luôn th?y th? hi?n ki?u gì,5,6,9,13,negative,APPEARANCE
th?t s? sao hong thích tr??ng gian n?i luôn th?y th? hi?n ki?u gì,5,6,3,4,negative,OTHER
andre rap ?úng gu nh?c mình nghe c? ch?t ch?t d? nghe,0,0,1,11,negative,SPECIALIZE
ôi bài nào c?ng th?y hay ghê,1,2,3,6,positive,SPECIALIZE
theo mình t?p này c??i không ng?m ???c m?m nh?t là 2 game ??u,2,3,4,8,positive,SPECIALIZE
ch??ng trình 7 n? c??i xuân nh? v?y là hoàn h?o r?i ch? mong quay quanh n?m su?t tháng c?ng ?c n?a nh? là ví d?,0,5,9,11,positive,OTHER
nhìn t?i t??ng gi?ng phú ông v?y,0,2,3,5,positive,APPEARANCE
chòi ?i b? ?? ng? c?a cris c?ng qu? còn b? ?? ng? c?a b?p sao mlem qu? d? ,2,6,7,8,positive,APPEARANCE
chòi ?i b? ?? ng? c?a cris c?ng qu? còn b? ?? ng? c?a b?p sao mlem qu? d? ,10,14,16,18,positive,APPEARANCE
t?p này c??i té gh? luôn luôn mong 7 n? ra th?t nhi?u mùa n?a ? truy?n thông,0,1,2,15,positive,SPECIALIZE
tui nói r?i mà m?y ng??i vé v?t hay vô ??ch l?m nên,4,7,9,10,positive,SPECIALIZE
bài c?a justate vs 2t hay quá n?m nào c?ng làm nên bài nghe ?ã tai trên phía,0,4,5,5,positive,SPECIALIZE
thích 6 anh này nè th? nh?ng,1,4,0,0,positive,OTHER
r?t thích vanda,2,2,0,1,positive,OTHER
"n?m nay anh te h?t dân ch?i xóm , làng lên làm dân ch?i b?n luôn",2,3,0,15,positive,SPECIALIZE
ng??i mi?n núi ch?t mình v?n thích v? phía bên trong,0,3,6,6,positive,SPECIALIZE
toii th?y chúc ch??ng trình ekip và dàn cast n?m m?i nhi?u ni?m vui thành công h?n n?a s?m ra mùa 3,,,2,21,positive,APPEARANCE
g? 2 ngày 1 ?êm t?p này r?t tuy?t ca s? qh hát cu?n gi? quay l?i coi 2 ngày 1 ?êm t? ??u ch? ngày ra mùa 3,0,6,7,8,positive,OTHER
g? 2 ngày 1 ?êm t?p này r?t tuy?t ca s? qh hát cu?n gi? quay l?i coi 2 ngày 1 ?êm t? ??u ch? ngày ra mùa 3,9,11,12,13,positive,SPECIALIZE
g? 2 ngày 1 ?êm t?p này r?t tuy?t ca s? qh hát cu?n gi? quay l?i coi 2 ngày 1 ?êm t? ??u ch? ngày ra mùa 3,,,14,28,positive,OTHER
"quá hay , ai c?ng hay . bài chung c?a ??i anh thái xu?t s?c quá",,,0,5,positive,OTHER
"quá hay , ai c?ng hay . bài chung c?a ??i anh thái xu?t s?c quá",7,12,13,15,positive,SPECIALIZE
h?i ti?c vì liu không ph?i á quân nh?ng ch? bé v?n là á quân trong lòng em nh? v?y là,3,3,0,17,positive,SPECIALIZE
"hên quá , không ph?i rái ?? vô ??ch",6,7,0,8,negative,SPECIALIZE
ô yeah chúc m?ng tình iu to b? double 2t quá b?t ng? rùi v? phía,8,9,10,13,positive,OTHER
liugrace ?n m?c nhìn ??c l? quá v?y ng??c l?i,0,2,4,5,neutral,APPEARANCE
sao c?ng ong baby r?t nh?ng mà,2,3,1,1,positive,APPEARANCE
nghe bài nào c?ng xúc ??ng h?t luôn ý . c?m xúc l?n l?n c? còn c?,1,2,0,14,positive,SPECIALIZE
không hài lòng v?i k?t qu? s?p x?p cho l?m th? nh?ng,4,5,,,negative,SPECIALIZE
công nh?n mùa này dàn thí sinh nào c?ng hay trái l?i,4,6,9,9,positive,OTHER
tr?i ?i cris v?i qu?nh anh d? th??ng r?t th?y qu?nh anh ??ng t? xa là ch?y l?i ôm trên phía bên trong,2,5,6,8,positive,APPEARANCE
tr?i ?i cris v?i qu?nh anh d? th??ng r?t th?y qu?nh anh ??ng t? xa là ch?y l?i ôm trên phía bên trong,2,2,9,18,positive,APPEARANCE
he he phát c?ng vui mà duyên l?m ?y ?nh làm n? th? 8 c?ng ok,2,2,3,8,positive,CHARACTERISTIC
t th?y hi?u ?i ??p trai quá r?i hi?u ?i,2,2,4,5,positive,APPEARANCE
karik b? gì v?y a ? tr?c ti?p mà sao anh im l?ng v?y,0,0,1,13,negative,APPEARANCE
ai c?ng gi?i ai c?ng x?n xò x?ng ?áng nh?ng mà tui nghi?n 24k . right,13,15,0,15,positive,SPECIALIZE
ch??ng trình nc,0,1,2,2,negative,OTHER
ph?n trình di?n c?a m?y b?n không nón m?i là cháy nh?t,0,7,10,11,positive,SPECIALIZE
không th?y anh karik nói n?ng gì g??ng m?t y nh? không hài lòng ?i?u gì ?y ngo?i b? là,2,3,0,16,neutral,APPEARANCE
chúc m?ng 2t tr? thành quán quân,2,2,0,6,positive,SPECIALIZE
nghe karik rap nh? bài em k ?òi quà nh? th?,1,2,,,neutral,SPECIALIZE
nh? có lan ng?c m?i vui á không là nh?t nh?o oy ngo?i b?,2,3,0,11,positive,APPEARANCE
?ang nói hay mà sao ông tr?n thành c? chém ngang v?y m?t vui ông thành ?i ?i theo,5,7,0,11,negative,APPEARANCE
?ang nói hay mà sao ông tr?n thành c? chém ngang v?y m?t vui ông thành ?i ?i theo,14,15,12,16,negative,OTHER
bài c?a big v?i tez h?p tai dã man nghe phát dính luôn,0,4,5,12,positive,SPECIALIZE
nhìn cris ch?y ra ôm v? c?ng ghê ??c bi?t nh?t,1,1,2,7,positive,APPEARANCE
tui th?y th??ng nh?t là karik . ?o?n cu?i không h? th?y anh luôn,5,5,0,3,positive,OTHER
tui th?y th??ng nh?t là karik . ?o?n cu?i không h? th?y anh luôn,5,5,7,13,positive,APPEARANCE
tui th?y th??ng nh?t là karik . ?o?n cu?i không h? th?y anh luôn,5,5,2,2,positive,SPECIALIZE
ch?c ch?n quang hùng hát hay quá tr?i luôn í,0,1,2,7,positive,APPEARANCE
mùa này có anh thái vg hay quá xu?ng phía ngoài là,0,1,2,7,positive,SPECIALIZE
mùa này có anh thái vg hay quá xu?ng phía ngoài là,3,5,0,7,positive,SPECIALIZE
hi?u m?c áo vàng qu?n jean ??p quá ch?i quá ??t,0,0,1,10,positive,APPEARANCE
hát nh? ??u cu - rap nh? b?u bu?i xu?ng phía là,,,0,8,negative,SPECIALIZE
"vanda rap ch?t hay , m?c dù không hi?u nh?ng giai ?i?u ??nh",0,0,1,12,positive,SPECIALIZE
mùa nay không ?n t??ng 1 ti?t m?c nào c? sau cùng nh?t,0,1,,,negative,SPECIALIZE
t th?y cú mà hát bolero thì ch? có ??nh,2,2,4,9,positive,SPECIALIZE
thí sinh thái vg ???c vào vòng trong vì b?c phá quá bên ngoài là,0,3,4,11,positive,SPECIALIZE
chúc m?ng 2t và 24k nhá chúc m?ng rapviet tin cho,2,4,0,1,positive,OTHER
chúc m?ng 2t và 24k nhá chúc m?ng rapviet tin cho,8,8,6,7,positive,OTHER
theo toi 7 n? c??i xuân lúc nào c?ng vui c? mình lúc nào c?ng ngóng coi,2,5,6,9,positive,OTHER
t? nhiên nghe 1 ?o?n ngh? ngang t?i dsk,8,8,,,neutral,OTHER
he he gi? v?n nghe ?i nghe l?i b? g?u hát không tin ???c l?i lo?i b? g?u,8,9,2,17,positive,APPEARANCE
vs tui bên k? thu?t ??t này ch?y t?t ghê,3,4,7,8,positive,TECHNICAL
ê ê t?p này nh?t quá thuý ngân ?ã nh?t còn thêm khách m?i nh?t n?a,2,3,4,5,negative,SPECIALIZE
ê ê t?p này nh?t quá thuý ngân ?ã nh?t còn thêm khách m?i nh?t n?a,6,7,9,9,negative,CHARACTERISTIC
ê ê t?p này nh?t quá thuý ngân ?ã nh?t còn thêm khách m?i nh?t n?a,12,13,14,14,negative,CHARACTERISTIC
thích ch??ng trình này mong mùa 3 gi? nguyên dàn cast này nhé ch??ng trình do ?ó,1,2,0,0,positive,OTHER
thích ch??ng trình này mong mùa 3 gi? nguyên dàn cast này nhé ch??ng trình do ?ó,9,10,7,8,positive,SPECIALIZE
ki?u là t?p này c??i ?au b?ng luôn ý hay quá,2,3,4,10,positive,OTHER
"gi?ng anh bâu c? có gì ?ó ??c bi?t nh? , nghe l? l? l?m",0,2,3,14,positive,SPECIALIZE
thúy ngân t?p nào c?ng d? th??ng ??p m? h?t á v? phía bên trong,0,1,2,10,positive,APPEARANCE
th? con liu rap ?éo thích tí nào,1,2,3,7,negative,SPECIALIZE
b?t ng? nh?t hnay là mike k có m?t trong top nào d??i phía là,5,5,6,11,negative,SPECIALIZE
2t ??p trai phong ?? quá bên ngoài là,0,0,1,5,positive,APPEARANCE
2t rap c?ng t??ng ???ng rai ?? trên phía bên trong là,0,0,1,6,neutral,SPECIALIZE
2t rap c?ng t??ng ???ng rai ?? trên phía bên trong là,5,6,0,6,neutral,SPECIALIZE
t?p hay nh?t rv3 . 1 cái k?t r?c,0,3,5,8,positive,SPECIALIZE
vanda top 1 châu á thì ph?i,0,0,,,positive,OTHER
bài c?a rhyder th?c s? r?t hay r?t b?t tai,0,2,3,9,positive,SPECIALIZE
hmm hmm h?a kim tuy?n ?úng là hit maker danh x?ng v?i th?c sáng tác bài nào là hit bài ??y,2,4,5,8,positive,SPECIALIZE
bài c?a anh big v?i tez hay quá ??c bi?t,0,5,6,7,positive,SPECIALIZE
nghe bà cú hát nghe m?c m?t luôn m?i ng??i già chi r?i ?u ái thái quá,1,2,0,7,negative,SPECIALIZE
nghe bà cú hát nghe m?c m?t luôn m?i ng??i già chi r?i ?u ái thái quá,1,2,8,16,negative,APPEARANCE
ph?n này rider th?y có 1 khúc gi?ng nh?c nc ngoài nh?n bi?t,2,2,7,10,neutral,SPECIALIZE
thích nh?t bài thái vg mikelodic liu grace ?i,2,7,0,1,positive,OTHER
vui nh?t là anh ca s? anh tú màn x?t n??c cu?i cùng c??i mà h?t mu?n làm gì h?t luôn ,3,6,0,1,positive,APPEARANCE
team bray qu?y ?úng cháy sân kh?u,0,1,3,6,positive,SPECIALIZE
